,Database,FCN,ResNet,xresnet,ResCNN,LSTM,InceptionTime,mWDN
0,ACSF1,0.7299998998641968,0.8700000047683716,0.8799999952316284,0.8899999856948853,0.22999997437000275,0.8799999952316284,0.5
1,Adiac,0.6419437527656555,0.8567774891853333,0.8056265711784363,0.7953964471817017,0.19948849081993103,0.8312020301818848,0.7672634124755859
2,AllGestureWiimoteX,0.6214285492897034,0.7071428298950195,0.6371428370475769,0.6700000166893005,0.1014285683631897,0.727142870426178,0.46142858266830444
3,AllGestureWiimoteY,0.6571428775787354,0.7285714149475098,0.6985714435577393,0.7228571176528931,0.1014285683631897,0.7357142567634583,0.41428571939468384
4,AllGestureWiimoteZ,0.4099999964237213,0.4628571569919586,0.44285714626312256,0.4628571569919586,0.09857142716646194,0.3928571343421936,0.16285714507102966
5,ArrowHead,0.6857143044471741,0.8342857360839844,0.7942857146263123,0.8057143092155457,0.2857142984867096,0.8628571629524231,0.8285714387893677
6,Beef,0.5333333611488342,0.6666666865348816,0.7333333492279053,0.6666666865348816,0.3333333432674408,0.7333333492279053,0.7333333492279053
7,BeetleFly,0.75,0.8500000238418579,0.75,0.75,0.6500000357627869,0.8500000238418579,0.8500000238418579
8,BirdChicken,0.8999999761581421,1.0,1.0,0.949999988079071,0.550000011920929,0.949999988079071,0.800000011920929
9,BME,0.7200000286102295,0.8133333325386047,0.9933333396911621,0.7599999904632568,0.6733333468437195,0.9933333396911621,0.9666666388511658
10,Car,0.6333333849906921,0.9166666865348816,0.8333333730697632,0.8666667342185974,0.20000001788139343,0.8000000715255737,0.8333333730697632
11,CBF,0.9888888597488403,0.995555579662323,0.9677777886390686,0.9933333396911621,0.6100000143051147,1.0,0.9877777695655823
12,Chinatown,0.9825072884559631,0.9795918464660645,0.9533527493476868,0.9825072884559631,0.9650145769119263,0.9854227304458618,0.7405247688293457
13,ChlorineConcentration,0.6130208373069763,0.8174479007720947,0.788281261920929,0.7885416746139526,0.5401041507720947,0.8674479126930237,0.8205729126930237
14,CinCECGTorso,0.7166666388511658,0.730434775352478,0.7847825884819031,0.7768115997314453,0.2615942060947418,0.8166666626930237,0.9217391014099121
15,Coffee,1.0,1.0,1.0,1.0,0.6071428656578064,1.0,1.0
16,Computers,0.8119999766349792,0.8360000252723694,0.8119999766349792,0.8240000009536743,0.42800000309944153,0.8240000009536743,0.5720000267028809
17,CricketX,0.7307692170143127,0.7769230604171753,0.6948717832565308,0.7461538314819336,0.15641026198863983,0.8358974456787109,0.6846153736114502
18,CricketY,0.6974359154701233,0.7974358797073364,0.7487179636955261,0.7974358797073364,0.1666666716337204,0.8487179279327393,0.6538461446762085
19,CricketZ,0.7487179636955261,0.7846153974533081,0.7564102411270142,0.7846153974533081,0.14358974993228912,0.8641025424003601,0.692307710647583
20,Crop,0.766785740852356,0.7745833396911621,0.7655357122421265,0.7736904621124268,0.6658928394317627,0.784761905670166,0.7699404954910278
21,DiatomSizeReduction,0.8202614188194275,0.9542483687400818,0.9542483687400818,0.9313725233078003,0.5915032625198364,0.9248365759849548,0.9084967374801636
22,DistalPhalanxOutlineAgeGroup,0.7625899314880371,0.7482014298439026,0.7194244861602783,0.7338129281997681,0.7410072088241577,0.6834532618522644,0.7194244861602783
23,DistalPhalanxOutlineCorrect,0.7681159377098083,0.79347825050354,0.7789855003356934,0.7536231875419617,0.6920289993286133,0.79347825050354,0.760869562625885
24,DistalPhalanxTW,0.6906474828720093,0.7050359845161438,0.6618704795837402,0.6906474828720093,0.6618704795837402,0.7122302055358887,0.6187050342559814
25,DodgerLoopDay,0.5250000357627869,0.550000011920929,0.512499988079071,0.512499988079071,0.26250001788139343,0.5625,0.5250000357627869
26,DodgerLoopGame,0.760869562625885,0.7536231875419617,0.7318840622901917,0.6884058117866516,0.739130437374115,0.8478260636329651,0.8623188138008118
27,DodgerLoopWeekend,0.8985507488250732,0.8985507488250732,0.9057971239089966,0.8840579986572266,0.5942028760910034,0.9710144996643066,0.9855072498321533
28,Earthquakes,0.7482014298439026,0.7482014298439026,0.7553957104682922,0.7266187071800232,0.7625899314880371,0.7482014298439026,0.7266187071800232
29,ECG200,0.8899999856948853,0.8899999856948853,0.8999999761581421,0.8799999952316284,0.669999897480011,0.8500000238418579,0.8399999737739563
30,ECG5000,0.9424444437026978,0.9395555257797241,0.9366666674613953,0.9395555257797241,0.9317777752876282,0.9375555515289307,0.9324444532394409
31,ECGFiveDays,0.9802555441856384,0.9756097793579102,0.7932636737823486,0.9767711758613586,0.8524971008300781,1.0,0.9802555441856384
32,ElectricDevices,0.7342756986618042,0.706652820110321,0.6895344257354736,0.7244196534156799,0.6925171613693237,0.7041888236999512,0.593956708908081
33,EOGHorizontalSignal,0.4447513818740845,0.6049723625183105,0.6243094205856323,0.511049747467041,0.37016573548316956,0.6712707281112671,0.34530386328697205
34,EOGVerticalSignal,0.3563535809516907,0.4447513818740845,0.47790056467056274,0.41988950967788696,0.22928176820278168,0.48895028233528137,0.3342541456222534
35,EthanolLevel,0.3499999940395355,0.7940000295639038,0.8700000047683716,0.722000002861023,0.25200000405311584,0.8339999914169312,0.6980000138282776
36,FaceAll,0.9035502672195435,0.8355029821395874,0.8781065344810486,0.8420118093490601,0.5325443744659424,0.784023642539978,0.7508875727653503
37,FaceFour,0.8068181872367859,0.9318181872367859,0.875,0.8977272510528564,0.47727271914482117,0.9545454382896423,0.8977272510528564
38,FacesUCR,0.857073187828064,0.9365853667259216,0.8668292760848999,0.9204878211021423,0.5414634346961975,0.9521951079368591,0.8590244054794312
39,FiftyWords,0.45494505763053894,0.6659340858459473,0.7494505643844604,0.6000000238418579,0.26153847575187683,0.7758241891860962,0.687912106513977
40,Fish,0.7771428823471069,0.977142870426178,0.9714285731315613,0.9599999785423279,0.19428572058677673,0.9885714054107666,0.9257143139839172
41,FordA,0.9151515364646912,0.9348484873771667,0.9348484873771667,0.9310606122016907,0.5007575750350952,0.9553030133247375,0.9015151262283325
42,FordB,0.7962962985038757,0.8123456835746765,0.7925925850868225,0.7950617074966431,0.4950617253780365,0.8382716178894043,0.7320987582206726
43,FreezerRegularTrain,0.9656140208244324,0.9926315546035767,0.9922807216644287,0.9863157868385315,0.7610526084899902,0.9964912533760071,0.988771915435791
44,FreezerSmallTrain,0.7456140518188477,0.7740350961685181,0.7452631592750549,0.8298245668411255,0.6340351104736328,0.8357895016670227,0.6845614314079285
45,Fungi,0.9462365508079529,0.9892473220825195,0.8064516186714172,1.0,0.29032257199287415,0.9838709831237793,0.8333333134651184
46,GestureMidAirD1,0.6769230961799622,0.7384615540504456,0.699999988079071,0.6538461446762085,0.0615384615957737,0.7307692170143127,0.6461538672447205
47,GestureMidAirD2,0.6153846383094788,0.6461538672447205,0.6769230961799622,0.6846153736114502,0.06923077255487442,0.6769230961799622,0.6307692527770996
48,GestureMidAirD3,0.39230769872665405,0.4000000059604645,0.3692307770252228,0.4769230782985687,0.0923076942563057,0.4615384638309479,0.4153846204280853
49,GesturePebbleZ1,0.4360465109348297,0.36627906560897827,0.4593023359775543,0.45348837971687317,0.22093023359775543,0.6220930218696594,0.3139534890651703
50,GesturePebbleZ2,0.31012657284736633,0.44936707615852356,0.5126582384109497,0.4177215099334717,0.14556962251663208,0.6392405033111572,0.22151899337768555
51,GunPoint,1.0,1.0,0.9933333396911621,1.0,0.5333333611488342,1.0,0.9866666793823242
52,GunPointAgeSpan,0.9398733973503113,0.9873417615890503,0.9936708807945251,0.996835470199585,0.5601266026496887,0.9873417615890503,0.503164529800415
53,GunPointMaleVersusFemale,1.0,0.996835470199585,1.0,0.996835470199585,0.8227847814559937,0.996835470199585,0.5253164768218994
