,Database,FCN,ResNet,xresnet,ResCNN,LSTM,InceptionTime,mWDN
0,Smooth,0.986667,0.98,0.933333,0.98,0.806777,0.98,0.9633333
1,SonyAIBORobotSurface1,0.965058208,0.946755409,0.795341074,0.981697142,0.474209636,0.873544097,0.816971719
2,SonyAIBORobotSurface2,0.980062962,0.980062962,0.809024155,0.975865662,0.798530936,0.961175263,0.928646386
3,StarLightCurves,0.97146672,0.974987864,0.976930559,0.968674123,0.823579431,0.977173388,0.948761523
4,Strawberry,0.959459484,0.972972989,0.983783782,0.970270276,0.821621597,0.983783782,0.978378356
5,SwedishLeaf,0.948800027,0.967999995,0.958400011,0.959999979,0.644800007,0.971199989,0.945599973
6,Symbols,0.932663321,0.973869324,0.954773843,0.953768849,0.34673366,0.985929668,0.912562788
7,SyntheticControl,0.99000001,0.99333334,0.99000001,0.983333349,0.850000024,0.99666667,1
8,ToeSegmentation1,0.942982435,0.964912295,0.934210539,0.956140339,0.47807017,0.964912295,0.811403513
9,ToeSegmentation2,0.869230747,0.899999976,0.784615397,0.915384591,0.623076916,0.938461542,0.853846133
10,Trace,0.98999995,0.9799999,1,0.98999995,0.189999998,1,0.970000029
11,TwoLeadECG,0.999122024,0.999122024,0.913081646,1,0.634767354,0.996488154,0.969271302
12,TwoPatterns,0.860249996,0.975499988,1,0.893750012,0.514500022,1,1
13,UMD,0.986111104,0.965277791,0.993055582,0.965277791,0.3125,0.986111104,0.979166687
14,UWaveGestureLibraryAll,0.766610861,0.860413194,0.909547746,0.838916779,0.488274693,0.93606925,0.958403111
15,UWaveGestureLibraryX,0.767169178,0.770519257,0.815745413,0.781407058,0.568397522,0.823562264,0.787828028
16,UWaveGestureLibraryY,0.659128964,0.681183696,0.733389139,0.668341696,0.555834711,0.753210485,0.700446665
17,UWaveGestureLibraryZ,0.726968169,0.751814604,0.749581218,0.756281435,0.410106093,0.762981594,0.718034625
18,Wafer,0.996106446,0.99707979,0.995944202,0.995781958,0.892115533,0.998053193,0.996593118
19,Wine,0.611111104,0.777777791,0.814814806,0.814814806,0.5,0.555555582,0.555555582
20,WordSynonyms,0.402821302,0.536050141,0.614420056,0.492163002,0.338557988,0.695924759,0.612852693
21,Worms,0.571428597,0.753246725,0.714285731,0.688311696,0.428571433,0.792207778,0.519480526
22,WormsTwoClass,0.792207778,0.792207778,0.83116883,0.766233742,0.571428597,0.740259767,0.714285731
,Yoga,0.734333336,0.871999979,0.845333338,0.890333354,0.545000017,0.90533334,0.825666666
