,Database,XCM,MiniRocket
0,ACSF1,0.5899999737739563,0.9100000262260437
1,Adiac,0.4219948947429657,0.8260869383811951
2,AllGestureWiimoteX,0.5271428823471069,0.645714282989502
3,AllGestureWiimoteY,0.5771428346633911,0.6285714507102966
4,AllGestureWiimoteZ,0.2914285659790039,0.33000001311302185
5,ArrowHead,0.7657142877578735,0.8399999737739563
6,Beef,0.8666667342185974,0.8000000715255737
7,BeetleFly,0.8999999761581421,0.8999999761581421
8,BirdChicken,0.800000011920929,0.8999999761581421
9,BME,0.9599999785423279,0.9666666388511658
10,Car,0.8500000238418579,0.9333333969116211
11,CBF,0.9877777695655823,0.9911110997200012
12,Chinatown,0.9825072884559631,0.9825072884559631
13,ChlorineConcentration,0.7932291626930237,0.7192708253860474
14,CinCECGTorso,0.7644927501678467,0.752173900604248
15,Coffee,0.9642857313156128,1.0
16,Computers,0.5720000267028809,0.7440000176429749
17,CricketX,0.6743589639663696,0.7589743733406067
18,CricketY,0.699999988079071,0.8153846263885498
19,CricketZ,0.6538461446762085,0.8358974456787109
20,Crop,0.7208928465843201,0.7627975940704346
21,DiatomSizeReduction,0.898692786693573,0.9281045794487
22,DistalPhalanxOutlineAgeGroup,0.7266187071800232,0.7266187071800232
23,DistalPhalanxOutlineCorrect,0.75,0.7789855003356934
24,DistalPhalanxTW,0.6906474828720093,0.6834532618522644
25,DodgerLoopDay,0.5625,0.574999988079071
26,DodgerLoopGame,0.9202898740768433,0.8405796885490417
27,DodgerLoopWeekend,0.9637681245803833,0.9637681245803833
28,Earthquakes,0.7338129281997681,0.7194244861602783
29,ECG200,0.9300000071525574,0.8999999761581421
30,ECG5000,0.9348888993263245,0.9428889155387878
31,ECGFiveDays,0.9988385438919067,0.9918699264526367
32,ElectricDevices,0.646479070186615,0.7206587791442871
33,EOGHorizontalSignal,0.469613254070282,0.6243094205856323
34,EOGVerticalSignal,0.48342540860176086,0.4861878454685211
35,EthanolLevel,0.2980000078678131,0.6039999723434448
36,FaceAll,0.7171597480773926,0.7875739932060242
37,FaceFour,0.8863637447357178,0.9772727489471436
38,FacesUCR,0.8092682957649231,0.9258536696434021
39,FiftyWords,0.5978022217750549,0.7714285850524902
40,Fish,0.800000011920929,0.9714285731315613
41,FordA,0.9340909123420715,0.9409090876579285
42,FordB,0.8074073791503906,0.7950617074966431
43,FreezerRegularTrain,0.9877192974090576,0.9964912533760071
44,FreezerSmallTrain,0.683859646320343,0.9624561667442322
45,Fungi,0.8602150678634644,1.0
46,GestureMidAirD1,0.5384615659713745,0.7692307829856873
47,GestureMidAirD2,0.5153846144676208,0.6769230961799622
48,GestureMidAirD3,0.35384616255760193,0.45384615659713745
49,GesturePebbleZ1,0.4593023359775543,0.6395348906517029
50,GesturePebbleZ2,0.3164556920528412,0.3734177350997925
51,GunPoint,0.9933333396911621,0.9800000190734863
52,GunPointAgeSpan,0.9620253443717957,0.9746835231781006
53,GunPointMaleVersusFemale,0.996835470199585,1.0
54,GunPointOldVersusYoung,1.0,1.0
55,Ham,0.6857143044471741,0.6952381134033203
56,HandOutlines,0.9243243336677551,0.9513513445854187
57,Haptics,0.4220779240131378,0.5227272510528564
58,Herring,0.609375,0.671875
59,HouseTwenty,0.8991597294807434,0.9495798945426941
60,InlineSkate,0.4127272665500641,0.4636363685131073
61,InsectEPGRegularTrain,1.0,1.0
62,InsectEPGSmallTrain,1.0,0.9598393440246582
63,InsectWingbeatSound,0.596969723701477,0.6464646458625793
64,ItalyPowerDemand,0.9552963972091675,0.9640427827835083
65,LargeKitchenAppliances,0.781333327293396,0.7839999794960022
66,Lightning2,0.7704917788505554,0.7213114500045776
67,Lightning7,0.8082191944122314,0.7808219194412231
68,Mallat,0.809808075428009,0.8908315300941467
69,Meat,0.7666667103767395,0.9666666388511658
70,MedicalImages,0.6868420839309692,0.7828947305679321
71,MelbournePedestrian,0.8507584929466248,0.8938089609146118
72,MiddlePhalanxOutlineAgeGroup,0.48701298236846924,0.5454545617103577
73,MiddlePhalanxOutlineCorrect,0.8144329786300659,0.8522336483001709
74,MiddlePhalanxTW,0.5779221057891846,0.5194805264472961
75,MixedShapesRegularTrain,0.9105154871940613,0.961649477481842
76,MixedShapesSmallTrain,0.8284536004066467,0.9175257682800293
77,MoteStrain,0.829872190952301,0.9297124743461609
78,NonInvasiveFetalECGThorax1,0.8824427723884583,0.939949095249176
79,NonInvasiveFetalECGThorax2,0.9099236726760864,0.9501272439956665
80,OliveOil,0.6000000238418579,0.9333333969116211
81,OSULeaf,0.6322314143180847,0.942148745059967
82,PhalangesOutlinesCorrect,0.8240092992782593,0.8251748085021973
83,Phoneme,0.15506328642368317,0.29641351103782654
