classifier_name,dataset_name,accuracy
Ours,ACSF1,0.879999995
Ours,Adiac,0.810741663
Ours,AllGestureWiimoteX,0.571428597
Ours,AllGestureWiimoteY,0.628571451
Ours,AllGestureWiimoteZ,0.38142857
Ours,ArrowHead,0.862857163
Ours,BME,0.946666658
Ours,Beef,0.833333373
Ours,BeetleFly,1
Ours,BirdChicken,1
Ours,CBF,0.975555539
Ours,Car,0.883333385
Ours,Chinatown,0.991253674
Ours,ChlorineConcentration,0.816666663
Ours,CinCECGTorso,0.965217412
Ours,Coffee,1
Ours,Computers,0.832000017
Ours,CricketX,0.743589759
Ours,CricketY,0.748717964
Ours,CricketZ,0.741025627
Ours,Crop,0.910123002
Ours,DiatomSizeReduction,0.980392158
Ours,DistalPhalanxOutlineAgeGroup,0.805755377
Ours,DistalPhalanxOutlineCorrect,0.815217376
Ours,DistalPhalanxTW,0.74820143
Ours,DodgerLoopDay,0.574999988
Ours,DodgerLoopGame,0.884057999
Ours,DodgerLoopWeekend,0.98550725
Ours,ECG200,0.889999986
Ours,ECG5000,0.946222246
Ours,ECGFiveDays,0.975609779
Ours,EOGHorizontalSignal,0.5
Ours,EOGVerticalSignal,0.497237563
Ours,Earthquakes,0.776978433
Ours,ElectricDevices,0.728378293
Ours,EthanolLevel,0.836000025
Ours,FaceAll,0.868047357
Ours,FaceFour,0.943181932
Ours,FacesUCR,0.913658559
Ours,FiftyWords,0.758241773
Ours,Fish,0.965714276
Ours,FordA,0.981818199
Ours,FordB,0.767283992
Ours,FreezerRegularTrain,0.997894764
Ours,FreezerSmallTrain,0.813333333
Ours,Fungi,0.973118305
Ours,GestureMidAirD1,0.707692325
Ours,GestureMidAirD2,0.615384638
Ours,GestureMidAirD3,0.530769229
Ours,GesturePebbleZ1,0.40697673
Ours,GesturePebbleZ2,0.474683553
Ours,GunPoint,1
Ours,GunPointAgeSpan,1
Ours,GunPointMaleVersusFemale,1
Ours,GunPointOldVersusYoung,1
Ours,Ham,0.771428585
Ours,HandOutlines,0.943243265
Ours,Haptics,0.522727251
Ours,Herring,0.8125
Ours,HouseTwenty,0.974789977
Ours,InlineSkate,0.50363636
Ours,InsectEPGRegularTrain,1
Ours,InsectEPGSmallTrain,1
Ours,InsectWingbeatSound,0.670202017
