,Database,LSTM_FCN,LSTM_FCN_NO_SHUFFLE,LSTM_TIME,LSTM_FCN_NO_SHUFFLE_TIME
0,ACSF1,0.7299998998641968,0.7299998998641968,8,18
1,Adiac,0.6470588445663452,0.6317135691642761,14,21
2,AllGestureWiimoteX,0.10000000149011612,0.10000000149011612,16,29
3,AllGestureWiimoteY,0.10000000149011612,0.10000000149011612,17,29
4,AllGestureWiimoteZ,0.10000000149011612,0.10000000149011612,17,30
5,ArrowHead,0.7257142663002014,0.6571428775787354,5,7
6,Beef,0.6333333849906921,0.5,5,6
7,BeetleFly,0.8999999761581421,0.75,4,7
8,BirdChicken,0.8999999761581421,0.949999988079071,4,6
9,BME,0.8199999928474426,0.699999988079071,5,6
10,Car,0.7666667103767395,0.6666666865348816,5,9
11,CBF,0.9900000095367432,0.9855555295944214,10,13
12,Chinatown,0.9825072884559631,0.9825072884559631,6,6
13,ChlorineConcentration,0.6091145873069763,0.6088541746139526,42,54
14,CinCECGTorso,0.908695638179779,0.7137681245803833,45,89
15,Coffee,1.0,1.0,5,6
16,Computers,0.7480000257492065,0.8159999847412109,17,30
17,CricketX,0.7333333492279053,0.7025641202926636,24,39
18,CricketY,0.7333333492279053,0.7128205299377441,25,39
19,CricketZ,0.7794871926307678,0.7410256266593933,27,39
20,Crop,0.7639880776405334,0.7664880752563477,190,231
21,DiatomSizeReduction,0.8464052081108093,0.7777777910232544,8,11
22,DistalPhalanxOutlineAgeGroup,0.7553957104682922,0.7482014298439026,24,29
23,DistalPhalanxOutlineCorrect,0.7572463750839233,0.7644927501678467,35,36
24,DistalPhalanxTW,0.7266187071800232,0.7122302055358887,21,27
25,DodgerLoopDay,0.15000000596046448,0.15000000596046448,5,8
26,DodgerLoopGame,0.52173912525177,0.52173912525177,7,8
27,DodgerLoopWeekend,0.739130437374115,0.739130437374115,7,9
28,Earthquakes,0.7553957104682922,0.7841726541519165,26,46
29,ECG200,0.8899999856948853,0.8799999952316284,6,6
30,ECG5000,0.9435555338859558,0.9422222375869751,47,72
31,ECGFiveDays,0.9767711758613586,0.9802555441856384,11,14
32,ElectricDevices,0.7416677474975586,0.7434833645820618,272,301
33,EOGHorizontalSignal,0.450276255607605,0.4475138187408447,41,78
34,EOGVerticalSignal,0.3674033284187317,0.3397790193557739,39,78
35,EthanolLevel,0.3160000145435333,0.4099999964237213,68,145
36,FaceAll,0.860946774482727,0.8426035642623901,37,53
37,FaceFour,0.8863637447357178,0.8522727489471436,6,7
38,FacesUCR,0.8604878187179565,0.8175609707832336,24,32
39,FiftyWords,0.7230769395828247,0.5384615659713745,39,53
40,Fish,0.7257142663002014,0.7657142877578735,12,20
41,FordA,0.9318181872367859,0.9151515364646912,252,322
42,FordB,0.7666666507720947,0.7938271760940552,176,316
43,FreezerRegularTrain,0.937192976474762,0.9673684239387512,31,53
44,FreezerSmallTrain,0.7287719249725342,0.7484210729598999,28,47
45,Fungi,0.9247311949729919,0.9408602118492126,7,9
46,GestureMidAirD1,0.03846153989434242,0.03846153989434242,16,25
47,GestureMidAirD2,0.03846153989434242,0.03846153989434242,17,24
48,GestureMidAirD3,0.03846153989434242,0.03846153989434242,17,25
49,GesturePebbleZ1,0.1627907007932663,0.1627907007932663,13,20
50,GesturePebbleZ2,0.15189872682094574,0.15189872682094574,13,21
51,GunPoint,0.9800000190734863,1.0,7,9
52,GunPointAgeSpan,0.949367105960846,0.9651898741722107,12,15
53,GunPointMaleVersusFemale,1.0,1.0,12,17
54,GunPointOldVersusYoung,1.0,1.0,13,14
55,Ham,0.723809540271759,0.6952381134033203,6,10
56,HandOutlines,0.9135135412216187,0.7378378510475159,192,448
57,Haptics,0.48051947355270386,0.4188311696052551,20,39
58,Herring,0.671875,0.640625,7,11
59,HouseTwenty,0.890756368637085,0.8823530077934265,12,24
60,InlineSkate,0.34909090399742126,0.2890909016132355,27,60
61,InsectEPGRegularTrain,1.0,1.0,8,16
62,InsectEPGSmallTrain,1.0,1.0,8,13
63,InsectWingbeatSound,0.6696969866752625,0.41969695687294006,27,44
64,ItalyPowerDemand,0.9582118391990662,0.9582118391990662,11,12
65,LargeKitchenAppliances,0.7200000286102295,0.8853333592414856,33,60
66,Lightning2,0.7540982961654663,0.6885245442390442,7,12
67,Lightning7,0.7260273694992065,0.6438356041908264,7,10
68,Mallat,0.7637526392936707,0.684861421585083,50,103
69,Meat,0.8500000238418579,0.7000000476837158,6,10
70,MedicalImages,0.75,0.7355263233184814,29,33
71,MelbournePedestrian,0.10045100748538971,0.10045100748538971,74,77
72,MiddlePhalanxOutlineAgeGroup,0.6298701167106628,0.6298701167106628,28,32
73,MiddlePhalanxOutlineCorrect,0.8178694248199463,0.8247422575950623,42,49
74,MiddlePhalanxTW,0.5714285969734192,0.5584415793418884,28,34
75,MixedShapesRegularTrain,0.9521649479866028,0.938144326210022,89,183
76,MixedShapesSmallTrain,0.8960824608802795,0.8037113547325134,52,107
77,MoteStrain,0.9257188439369202,0.9169328808784485,13,14
